python: can't open file 'train_ma.py': [Errno 2] No such file or directory
Generating 1 envs per character matchup:
hello
hello

Duel: ego=2timescale(Guile, head=0) vs adv=2timescale(Ryu, head=0)  matchup=GuileVsRyu  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Ryu.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 88/100: ego_won=False  ego_hp=29  adv_hp=146
  round 89/100: ego_won=True  ego_hp=155  adv_hp=-1
  round 90/100: ego_won=True  ego_hp=31  adv_hp=-1
  round 91/100: ego_won=True  ego_hp=23  adv_hp=-1
  round 92/100: ego_won=True  ego_hp=6  adv_hp=-1
  round 93/100: ego_won=True  ego_hp=4  adv_hp=-1
  round 94/100: ego_won=True  ego_hp=114  adv_hp=-1
  round 95/100: ego_won=True  ego_hp=19  adv_hp=-1
  round 96/100: ego_won=True  ego_hp=13  adv_hp=-1
  round 97/100: ego_won=True  ego_hp=29  adv_hp=-1
  round 98/100: ego_won=True  ego_hp=4  adv_hp=-1
  round 99/100: ego_won=False  ego_hp=-1  adv_hp=73
  round 100/100: ego_won=False  ego_hp=-1  adv_hp=58
final: ego_win_rate=0.8100  (81/100)  matchup=GuileVsKen

Duel: ego=2timescale(Guile, head=6) vs adv=2timescale(Dhalsim, head=3)  matchup=GuileVsDhalsim  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Dhalsim.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=False  ego_hp=131  adv_hp=176
  round 2/100: ego_won=False  ego_hp=101  adv_hp=176
  round 3/100: ego_won=False  ego_hp=171  adv_hp=176
  round 4/100: ego_won=False  ego_hp=109  adv_hp=176
  round 5/100: ego_won=False  ego_hp=87  adv_hp=176
  round 6/100: ego_won=False  ego_hp=94  adv_hp=176
  round 7/100: ego_won=False  ego_hp=92  adv_hp=176
  round 8/100: ego_won=False  ego_hp=81  adv_hp=176
  round 9/100: ego_won=False  ego_hp=128  adv_hp=176
  round 10/100: ego_won=False  ego_hp=101  adv_hp=176
  round 11/100: ego_won=False  ego_hp=77  adv_hp=176
  round 12/100: ego_won=False  ego_hp=81  adv_hp=176
  round 13/100: ego_won=False  ego_hp=111  adv_hp=176
  round 14/100: ego_won=False  ego_hp=84  adv_hp=176
  round 15/100: ego_won=False  ego_hp=84  adv_hp=176
